,Name,RemainingLife,CRF,EnergyCapacity,DischargeCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff
0,0,25.0,0.1018,2441.2507471445642,500.0,499.84074304940697,51001952.10578337,6431608.88148422,1983277.7032039755,0.4096260907117626
1,1,25.0,0.1018,2441.250747790891,500.0,499.782856581263,51001952.11928626,8356988.127693472,2024535.8233253658,0.4096260906033133
2,2,25.0,0.1018,2518.852055692795,500.0,499.8961252633358,52623177.71177747,5214129.871767157,1943804.4703719746,0.4096260919170703
3,3,25.0,0.1018,2518.8520572287334,500.0,499.87426239707423,52623177.74386588,5696568.2101138085,1959387.054546644,0.4096260916672922
4,4,25.0,0.1018,2518.852059958296,500.0,499.9115113897361,52623177.80089116,4882928.129904148,1932838.1310601893,0.4096260912233994
