Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
0,-2903172.534288957,-51001952.10578337,-1541691.9093612346,-2403021.4115781127,-1567000.7294598906,-0.0,-0.0
1,-4504444.953472848,-51001952.11928626,-1907238.3305856176,-2403021.4115781127,-1566819.2553822594,-0.0,-0.0
2,-1983118.6988940744,-52623177.71177747,-1204619.8789663871,-2403021.4115781127,-1567174.3527005576,-0.0,-0.0
3,-2340335.7501387578,-52623177.74386588,-1345492.290328754,-2403021.4115781127,-1567105.8126148274,-0.0,-0.0
4,-1740035.6393802757,-52623177.80089116,-1105486.6217991272,-2403021.4115781127,-1567222.5882068223,-0.0,-0.0
