,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Source,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model,Aspen output for Coal Model,"Aspen input for TES model, and output of Coal Model ",Aspen input for TES model and Coal Model,Aspen output for TES model,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,"Aspen output for Coal Model, input for TES model",Aspen output for TES model (design spec set at 290 C),"NETL for 700, 600, 660 MW Archetypes and CEA report for the rest",Aspen output for TES model,Aspen output for TES model 
Capacity,Steam Turbine Efficiency of TES,Enthalpy change of steam between input and output of the heat exchanger (J/kg) - Qs,Gross Power Output (MW) ,Molten Salt Flow (kg/s),deltaA for Heat Exchanger Network (C),deltaB for Heat Exchanger Network (C),deltaC for Heat Exchanger Network (C) ,deltaD for Heat Exchanger Network (C) ,Peak Steam Flow (kg/s) ,Steam Turbine Efficiency of Coal Plant,Output Target Pressure of LP turbine for TES model,HP turbine input temperature for TES (C),HP turbine output temperature for TES (K),HP_output_P_MS - HP turbine output pressure for TES (Pa) ,IP_input_T_MS - IP turbine input temperature for TES (K),IP_input_P_MS - IP turbine input pressure for TES  (Pa) ,LP_input_T_MS - LP turbine input temperature for TES (K),LP_input_P_MS - LP turbine input pressure for TES (Pa) ,LP_output_T_MS - LP turbine output temperature for TES (K),LP_output_P_MS - LP turbine output pressure for TES (Pa) ,LP_vaporfraction_MS - LP turbine output vapor fraction for TES,HP_output_T_coal - HP turbine output temperature for Coal Plant (C),HP_output_P_coal - HP turbine output pressure for Coal Plant (bar),IP_input_T_coal - IP turbine output temperature for Coal Plant (C),IP_input_P_coal - IP turbine input pressure for Coal Plant (bar) ,LP_input_T_coal - LP turbine input temperature for Coal Plant (C) ,LP_input_P_coal - LP  turbine input pressure for Coal Plant (bar),LP_output_T_coal - LP turbine output temperature for Coal Plant (C) ,LP_output_P_coal - LP turbine output pressure for Coal Plant (bar),LP_vaporfraction_coal - LP turbine output vapor fraction for Coal Plant,coal_power_net - Gross Power Output (MW) of Coal Plant,"Calibrated steam flow (kg/s) from Coal Plant model, used for TES model ",cold_salt_temp - Cold Salt Temperature (C) ,steam_peak_temp - Peak Steam Temperature (C)   ,Salt LMTD for TES,UA
120_125MW - Archetype ,0.4022596424982889,-3483686.9000000004,132.7185358833986,979.521107,27.60041799999999,158.61066599999992,88.62606899999992,243.473216,86.7592593,0.4022596485283971,0.0475,537.55,324.22981300000004,31.8469776,537.55,26.8469776,313.57187799999997,5.36939552,35.28863899999999,0.0475,0.915511869,324.079798,31.8469776,537.4,26.8469776,313.421878,5.36939552,35.1386392,0.0475,0.915511869,-132.737143,86.7592593,290.151356,537.55,105.263094,3168185.94
100_110MW - Archetype,0.4014903758362892,-3485099.3000000007,120.4848050717611,891.003299,27.50037899999996,160.442812,90.59429999999998,243.529496,78.8473625,0.4014903803370265,0.0475,537.65,324.797018,31.062448500000002,537.65,26.062448500000002,313.793418,5.2124897,35.28863899999999,0.0475,0.917172997,324.647008,31.0624485,537.5,26.0624485,313.643418,5.2124897,35.1386392,0.0475,0.917172997,-120.50135,78.8473625,290.21877099999995,537.65,105.947773,2862559.23
250MW_0,0.4065603750325313,-3475305.0,273.92095082275,2001.989493,28.000625000000014,147.47396700000002,77.233787,243.49990799999995,178.058361,0.4065603719594726,0.0475,537.15,320.91794500000003,36.774800899999995,537.15,31.7748009,312.361095,6.35496019,35.28863899999999,0.0475,0.906060527,320.767965,36.7748009,537.0,31.7748009,312.211095,6.35496019,35.1386392,0.0475,0.906060527,-273.964219,178.058361,290.118464,537.15,101.368567,6724859.04
250MW_1,0.4065603750325313,-3475305.0,273.92095082275,2001.989493,28.000625000000014,147.47396700000002,77.233787,243.49990799999995,178.058361,0.4065603719594726,0.0475,537.15,320.91794500000003,36.774800899999995,537.15,31.7748009,312.361095,6.35496019,35.28863899999999,0.0475,0.906060527,320.767965,36.7748009,537.0,31.7748009,312.211095,6.35496019,35.1386392,0.0475,0.906060527,-273.964219,178.058361,290.118464,537.15,101.368567,6724859.04
250MW_2,0.4069492969332087,-3474558.7,270.02101476275004,1972.108934,28.00064199999997,146.3836520000001,76.18105200000002,243.531667,175.448934,0.4069492929835657,0.0475,537.15,320.62863500000003,37.265131600000004,537.15,32.265131600000004,312.272238,6.45302632,35.28863899999999,0.0475,0.905208364,320.478658,37.2651316,537.0,32.2651316,312.122238,6.45302632,35.1386392,0.0475,0.905208364,-270.064247,175.448934,290.14538300000004,537.15,101.002106,6647875.14
250MW_3,0.4059623804279848,-3476424.200000001,273.24423943275,2000.215267,28.000597999999968,149.15207099999998,78.90547800000002,243.58361,177.741162,0.4059623783457554,0.0475,537.15,321.35400300000003,36.039304900000005,537.15,31.0393049,312.494416,6.20786098,35.28863899999999,0.0475,0.907361498,321.204019,36.0393049,537.0,31.0393049,312.344416,6.20786098,35.1386392,0.0475,0.907361498,-273.286542,177.741162,290.212096,537.15,101.983024,6676154.1
250MW_4,0.4079847715182099,-3480517.6,274.70500915275,2001.507443,25.000625000000014,144.3503049999999,75.07753200000002,243.508468,177.717172,0.4079847642849456,0.0475,540.15,322.943441,37.7799788,540.15,32.7799788,314.56320400000004,6.55599576,35.28863899999999,0.0475,0.905434627,322.79347,37.7799788,540.0,32.7799788,314.413204,6.55599576,35.1386392,0.0475,0.905434627,-274.749407,177.717172,290.15591300000006,540.15,98.6230568,6909467.56
210MW_0,0.4065945643170467,-3483151.9000000004,231.38162976751,1690.887609,25.000564999999938,148.25642600000003,78.87220000000002,243.48409,149.943883,0.4065945602572892,0.0475,540.15,323.962751,36.039304900000005,540.15,31.0393049,314.876445,6.20786098,35.28863899999999,0.0475,0.908467403,323.812769,36.0393049,540.0,31.0393049,314.726445,6.20786098,35.1386392,0.0475,0.908467402,-231.417473,149.943883,290.1503,540.15,99.9527504,5759630.84
210MW_1,0.4059623831367721,-3476424.200000001,232.6455662467362,1703.240728,28.000597999999968,149.15315099999998,78.90753699999993,243.587358,151.349607,0.4059623792833584,0.0475,537.15,321.35400200000004,36.039304900000005,537.15,31.0393049,312.494416,6.20786098,35.28863899999999,0.0475,0.907361498,321.204019,36.0393049,537.0,31.0393049,312.344416,6.20786098,35.1386392,0.0475,0.907361498,-232.681736,151.349607,290.21592,537.15,101.984543,5684773.5
210MW_2,0.4028265251281163,-3489449.4000000004,227.61857328751,1676.809743,25.00039300000003,157.80802300000005,88.56566200000009,243.439022,148.233726,0.4028265324852873,0.0475,540.15,326.45741399999997,31.871494100000003,540.15,26.871494100000003,315.627391,5.374298830000001,35.28863899999999,0.0475,0.916414902,326.307396,31.8714941,540.0,26.8714941,315.477391,5.37429883,35.1386392,0.0475,0.916414902,-227.649805,148.233726,290.15021,540.15,103.459332,5518091.74
