State,Age grouping,Capacity,Ownership,Age,Avg daily generation,Unnamed: 9,Actual avg PLF,Target PLF,PLF Diff,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Annual target coal consumption (tons),Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Target coal used,Actual coal used,GCV,Wtd GCV,BCCL,CCL,ECL,MCL,NCL,NEC,SECL,WCL,Total,Auxiliary consumption (%),"Actual aux, MU","Targeted aux, MU", VC,VC  - ACTUAL,VC - TARGET,Diff,Diff Test,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,Fixed cost for FY 2018-19 (INR crore),Unnamed: 53,Actual coal cost (INR crore),Target coal cost (INR crore),Sox control cost (INR crore),Nox control cost (INR crore),Unnamed: 61,wtd PLF,ramp up (%/min),ramp down (%/min),wtd ramp up,wtd ramp down,Unnamed: 68,Actual energy,Target energy,Actual energy-coal cost,Target energy-coal cost,Actual energy-transport cost,Target energy-transport cost,Actual SHR.1,Reallocated SHR,Actual INR/Mcal,Reallocated INR/Mcal,Actual PLF,Reallocated PLF,Actual - pvt,Reallocated-pvt,Actual-cons,Reallocated cons,Actual age,Reallocated age,Actual capacity,Reallocated capacity,Actual aux,Reallocated aux
Andhra Pradesh, 0-5 years,520.0,PVT SECTOR,4.29979466119096,3.248882539306625,,0.2603271265470052,0.85,0.5896728734529948,0.15,3.6099187556796712,685162.5798280016,11.814214345893223,10.608,2242337.8828505343,0.049013357007384684,33582.11813321055,2699.343560013346,2894.2724293981505,0.31859601706980645,2841473.0175251933,933088.3648195551,3678.247955347409,1912688.9367806527,0.0,0.0,0.0,685162.5798280016,0.0,0.0,0.0,0.0,685162.5798280016,0.02064213334024792,0.06706386658317062,0.21897175047334994,3.16447368421048,2.47757521579977,2.457595006687827,0.01998020911194276,0.43212407512382367,0.166349412417572,293.80006883707546,951.5611258294732,0.9265795651070445,,,298.55958712728284,909.1839989985235,,,,135.37010580444272,0.7050000000000001,0.6599999999999999,366.6,343.2,,318.01418656771546,968.4278192635425,151.3812435001988,460.9914076555971,166.6329430675167,507.4364116079454,963817.4326869547,2935050.239673712,5691921.16528393,18584820.777859874,-91218.77624481247,-972398.7624,-1198981.90738889,-3914822.9952000002,2117438.0772565873,6913695.048000001,103409.02578470163,337735.696065708,-1016861.2482125021,-3320176.7040000004,189592.501640753,619042.7733451811
Andhra Pradesh, 0-5 years,600.0,STATE SECTOR,2.11635865845311,4.78788476503875,,0.3324919975721354,0.85,0.5175080024278647,0.15,5.0179290203268945,1098926.4554515898,12.218173110506502,12.24,2675779.9112009243,0.0,0.0,2597.551216635181,2768.624458007363,0.3310810560701967,3131467.5788996727,1305599.9441140855,3705.872573496995,2223523.544098197,0.0,0.0,0.0,1098926.4554515898,0.0,0.0,0.0,0.0,1098926.4554515898,0.10362859790133408,0.496161785114124,1.2684140383123292,3.39011257035647,3.216104829158135,3.1985698219174865,0.017535007240648603,0.3792402143391878,0.11246685861083114,562.0393849717232,1428.9930536398565,1.2339235495312717,,,404.0831827033095,969.1892156694487,,,,199.49519854328122,,,,,,597.0199691710934,1431.9460458337742,198.74096157933747,476.6780824330816,398.27900759175594,955.2679634006925,1358725.1234172296,3258887.756390498,11170538.00275882,28556949.856469944,-171678.87038563757,-1121998.5720000002,0.0,0.0,3120472.7743630325,7977340.44,75028.92016462638,191807.87088295651,-1729096.704046094,-4420353.600000001,1402671.1976361733,3585862.29652664
Andhra Pradesh, 0-5 years,660.0,PVT SECTOR,3.7809719370294235,12.957674940913066,,0.8180350341485522,0.85,0.03196496585144778,0.15,10.623936476724458,2559306.2972429222,11.068674636105408,13.464,2666443.7198377927,0.8384798794480327,2122464.975047952,2743.765202289718,2754.331899409191,0.31352978845775153,3294281.848146599,3186866.494647544,3743.6770082031862,823608.941804701,0.0,0.0,0.0,2704562.878619328,0.0,0.0,0.0,0.0,901520.9595397761,0.06132040488569595,0.7938838138512962,0.8256179313810103,2.20443382111819,3.092324248135634,3.091241161680888,0.001083086454746122,0.02342456627525796,0.008716127215603582,1463.4605149983788,1519.1471915318089,1.2450723054333415,,,1544.5846884824296,1601.9650137352353,,,,539.9031225380445,0.85,0.88,561.0,580.8,,1621.35222283707,1678.1036988078206,1456.1184936699262,1514.4773803803598,165.2337291671437,163.62631842746092,3655522.1964118793,3786560.605071949,30532449.715667695,31696464.6214835,-1144579.9514006383,-1234198.4292000001,-4781957.3739642985,-4968813.801600001,8445080.417852977,8775074.484000001,364900.0284920765,376940.9271129355,-5147488.200977479,-5348627.856000002,2244344.472645424,2334058.2192030963
Andhra Pradesh, 10-15 years,210.0,STATE SECTOR,12.92265571526345,3.145897387750055,,0.6241859896329474,0.8,0.1758140103670527,0.15,11.449725499341056,877621.459524492,14.591543569780969,4.032,,0.0,0.0,3057.685186130732,3115.8042345145805,0.28125882084544773,,965105.3059664733,3705.872573496995,778233.240434369,0.0,0.0,0.0,877621.459524492,0.0,0.0,0.0,0.0,877621.459524492,0.10362859790133408,0.3260049354340077,,3.61360745614035,3.5664469828072773,,,0.12884002307718356,0.03611490542542771,409.48384410300866,0.0,1.2339235495312717,123.73,,298.7000921966235,0.0,73.5,16.8,,131.07905782291894,1.525,1.525,320.25,320.25,,441.31982588735036,,146.91020583893138,,294.409620048419,,1004375.67562069,,7339643.297024355,,-212605.68305618534,,0.0,,2050318.1741330777,,300406.2953239487,,-397638.28391421924,,921630.2966890988,
Andhra Pradesh, 10-15 years,500.0,STATE SECTOR,10.5900068446269,8.63695232200311,,0.7197460268335925,0.8,0.08025397316640759,0.15,11.19510331194738,2043106.3544303968,13.007365916803558,9.6,2234206.381003905,0.0,0.0,2771.397229126625,2797.926881341012,0.3103127877020428,2719537.1619049003,2470141.711144702,3570.8193390001843,1785409.669500092,0.0,0.0,0.0,2043106.3544303968,0.0,0.0,0.0,0.0,2043106.3544303968,0.08897127639334747,0.7684406722371029,0.8541242533761356,2.77143640350877,2.9481534124607776,2.9454341231088024,0.002719289351975185,0.05881171661580681,0.019026291856709097,929.4017068401694,1032.0801167373243,1.047518881492147,,,764.5088595992853,841.6967516095667,,,,359.87301341679625,0.8,0.84,400.0,420.0,,923.9566750233123,1017.2430603390552,354.8063830750391,390.62906379022314,569.1502919482731,626.613996548832,2476970.0101458,2727054.8734605988,17106632.687697507,19014076.68808444,-670396.5320105132,-828234.24,0.0,0.0,5629077.535675433,6256737.600000001,677255.4373587258,752771.5745379829,-2599290.8013068363,-2889120.0000000005,2172415.5918038683,2414646.845761484
Andhra Pradesh, 15-20 years,500.0,CENTRAL SECTOR,18.005475701574248,7.9670712427388395,,0.66392260356157,0.75,0.08607739643843004,0.25,10.624390552980557,1938951.2759189515,13.213341192847365,9.0,2127736.5597305684,0.016194662129857273,31400.660799763085,2848.2351305677635,2876.6898388012905,0.30194149728271874,2171388.7575689126,1941245.9852375374,4308.971560850572,2154485.780425286,0.0,21886.612914385223,548017.1392509858,1368711.6919006226,335.83185295779816,0.0,0.0,0.0,1938951.2759189515,0.056962700163683135,0.45382589038283494,0.5126643014731482,2.96912649122808,2.7893350511497386,2.7864184435558017,0.0029166075939368596,0.06307923765801031,0.02156471886430057,811.1133076139763,915.3384587080809,0.9780716676506108,,,607.5307513900399,679.5560446628854,,,,331.961301780785,0.825,0.775,412.5,387.5,,818.1348204339863,915.1281005990811,420.5706169499862,470.4310099563589,397.56420348400013,444.6970906427222,2349011.8045421904,2627496.9079487617,14733689.988944646,16643909.143068839,-570831.6841760982,-727940.25,0.0,0.0,5192486.896491962,5865691.500000001,1061798.0404549148,1199893.9034907587,-2397690.090502254,-2708550.0000000005,1282985.7604514512,1449324.5374938548
Andhra Pradesh, 25-30 years,210.0,STATE SECTOR,26.482683093771357,3.5081377121185318,,0.696059069864788,0.65,-0.04605906986478807,0.25,12.850321393744963,984977.1348305515,14.992147736995207,3.276,,0.0,0.0,3210.8767570372347,3195.6509550411474,0.2678437689046911,,1130516.2723216142,3624.8406327989082,761216.5328877708,0.0,0.0,0.0,984977.1348305515,0.0,0.0,0.0,0.0,984977.1348305515,0.09483420499654212,0.32941290674730517,,3.3034583165196416,3.438703668535264,,,-0.033753007578313995,0.021253922292687574,437.1531849972727,0.0,1.122080748707797,117.31700000000001,,349.8947862835396,0.0,31.5,16.8,,146.1724046716055,1.24,1.4449999999999998,260.4,303.45,,454.0590568036143,,165.60201387207613,,288.4570429315382,,1147854.278509621,,7364076.007393418,,-268232.51689059404,,0.0,,2286405.9509781245,,690623.6692167553,,-443425.0986740704,,931264.7815425287,
Andhra Pradesh, 30-35 years,210.0,STATE SECTOR,30.5790554414784,3.76871886246445,,0.7477616790604068,0.6,-0.14776167906040683,0.25,13.699427900379986,1050061.1485641259,15.121900331108828,3.024,,0.0,0.0,3258.703801525667,3209.8580459646537,0.2639086128654477,,1236529.7055247554,3570.8193390001843,749872.0611900387,0.0,0.0,0.0,1050061.1485641259,0.0,0.0,0.0,0.0,1050061.1485641259,0.08897127639334747,0.33530772756114663,,3.09669222343917,3.312936267170087,,,-0.10828271364904733,0.032684816403529104,455.72167710826625,0.0,1.047518881492147,110.555,,382.70594385991177,0.0,,,,157.02995260268543,,,,,,462.52402043555475,,177.6127379261848,,284.9112825093699,,1239947.8877751778,,7464448.902784313,,-303912.74054984166,,0.0,,2456238.021938599,,853323.1838696529,,-476362.29549664404,,947929.6993553742,
Andhra Pradesh, 35-40 years,210.0,STATE SECTOR,39.564681724846,3.17509850080905,,0.629979861271637,0.55,-0.07997986127163692,0.25,12.345313847465164,946268.3064082048,15.406520043634496,2.772,,0.0,0.0,3343.8873716119097,3317.448332895511,0.2571856956968739,,1076679.2837527334,3570.8193390001843,749872.0611900387,0.0,0.0,0.0,946268.3064082048,0.0,0.0,0.0,0.0,946268.3064082048,0.08897127639334747,0.28249256629158515,,3.09669222343917,3.3904983413956953,,,-0.05861084193708097,0.01728679268810787,392.928566327778,0.0,1.047518881492147,110.555,,333.23223832147096,0.0,,,,132.29577086704376,,,,,,402.73195930190127,,154.65213217386642,,248.07982712803482,,1079655.5858995218,,6288704.831938043,,-215712.75725710354,,0.0,,2069349.8097620432,,930166.3339859714,,-401329.2754037631,,798618.914579228,
Andhra Pradesh, 40-45 years,210.0,STATE SECTOR,40.5065023956194,2.82060334851775,,0.5596435215312996,0.55,-0.009643521531299548,0.25,11.396535421502675,873544.44005818,15.436352213381243,2.772,,0.0,0.0,3351.083387294319,3347.8955168094913,0.25663342286876606,,965247.9750944839,3570.8193390001843,749872.0611900387,0.0,0.0,0.0,873544.44005818,0.0,0.0,0.0,0.0,873544.44005818,0.08897127639334747,0.2509526801169741,,3.09669222343917,3.40059288890362,,,-0.007066965448566935,0.0020781568624774088,350.0979146626328,0.0,1.047518881492147,110.555,,298.74424829174274,0.0,,,,117.52513952157291,,,,,,361.0510707209541,,138.64635428348382,,222.40471643747026,,967916.2437830425,,5586580.039102527,,-170233.66862184776,,0.0,,1838309.8984746782,,845984.6820676371,,-356521.4426492951,,709454.268608611,
