Age grouping,Capacity,Age,Avg daily generation,Unnamed: 9,Actual avg PLF,Target PLF,PLF Diff,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Annual target coal consumption (tons),Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Target coal used,Actual coal used,GCV,Wtd GCV,BCCL,CCL,ECL,MCL,NCL,NEC,SECL,WCL,Total,Auxiliary consumption (%),"Actual aux, MU","Targeted aux, MU", VC,VC  - ACTUAL,VC - TARGET,Diff,Diff Test,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,Fixed cost for FY 2018-19 (INR crore),Unnamed: 53,Actual coal cost (INR crore),Target coal cost (INR crore),Sox control cost (INR crore),Nox control cost (INR crore),Unnamed: 61,wtd PLF,ramp up (%/min),ramp down (%/min),wtd ramp up,wtd ramp down,Unnamed: 68,Actual energy,Target energy,Actual energy-coal cost,Target energy-coal cost,Actual energy-transport cost,Target energy-transport cost,Actual SHR.1,Reallocated SHR,Actual INR/Mcal,Reallocated INR/Mcal,Actual PLF,Reallocated PLF,Actual - pvt,Reallocated-pvt,Actual-cons,Reallocated cons,Actual age,Reallocated age,Actual capacity,Reallocated capacity,Actual aux,Reallocated aux,Unit ID,Group ID
 25-30 years,210.0,27.299794661190923,2.5339955584004925,,0.5027768965080343,0.65,0.14722310349196574,0.25,10.187010540078456,780834.3578970137,15.018029745893223,3.276,,0.022633605042873307,17673.09646054659,3222.222801206336,3270.890519195399,0.2668974629125103,,640570.5318793184,4720.174338208047,991236.6110236899,166825.6551357456,370796.81394094334,230773.68318568374,0.0,12438.205634641006,0.0,0.0,0.0,780834.3578970137,0.0666657726329522,0.16893077174923798,,3.74965388589795,3.2826462539963814,,,0.10788803470098235,0.032846275690112336,303.56045306769533,0.0,1.0743829011139359,124.005,,201.35344221850198,0.0,31.5,16.8,,105.5831482666872,1.205,0.5425,253.04999999999998,113.925,,324.85090673460576,,149.3655912789855,,175.48531545562025,,849094.4386434972,,5147627.181926506,,-138545.3260435036,,0.0,,1651515.1342163915,,511207.7666915103,,-320294.5045862639,,477574.7246890528,,"['DADRI (NCTPP)1', 'DADRI (NCTPP)2', 'DADRI (NCTPP)3', 'DADRI (NCTPP)4']",Group196
 25-30 years,500.0,26.3422313483915,10.177786399549575,,0.8481488666291312,0.4925,-0.3556488666291313,0.25,13.451652554031394,2454926.5911107296,13.477407927960302,5.91,1425136.7897940963,0.0,0.0,2993.403327279945,2875.836054659713,0.2872988718166366,1438412.2667431212,2378483.874115105,4489.130228333277,2244565.1141666383,0.0,0.0,0.0,0.0,2454926.5911107296,0.0,0.0,0.0,2454926.5911107296,0.0932557702539878,0.9491373101705569,0.5511416022010679,1.48842105263157,1.8257418285332168,1.8377924739767906,-0.012050645443573815,-0.26062660244316,0.136125675929236,678.2958121709714,396.4394035239034,0.38158009247456304,,,736.140759038625,445.188596556996,,,,424.0744333145657,0.8400000000000001,0.95,420.0,475.0,,407.42542246942264,246.39465999366894,402.89066037726,243.65221658628823,4.534762092162573,2.742443407380729,2998426.5625522444,1813328.9005830085,7343129.53467533,4263981.758533644,-937439.7418923477,-313895.924025,0.0,0.0,6633306.130294839,3851804.0850000004,1988336.5603219566,1152751.7174332645,-3063004.8169444455,-1778614.5000000005,2683252.9378938116,1558101.5596529157,"['ANPARA TPS5', 'ANPARA TPS4']",Group197
 30-35 years,110.0,31.175906913073202,1.7427856995721234,,0.660146098322774,0.6,-0.06014609832277403,0.25,13.020101311265845,522757.06764732365,15.661595601471594,1.5840000000000003,,0.0,0.0,3355.8382972778913,3335.955729380014,0.25627068165767597,,487656.9775263622,4351.592256518851,478675.14821707364,0.0,522757.06764732365,0.0,0.0,0.0,0.0,0.0,0.0,522757.06764732365,0.12115813368341415,0.21115266277030176,,2.88281798245614,2.9593214905384797,,,-0.04407626377289527,0.014888597103674335,188.2537548114689,0.0,0.7713675275921291,91.59999999999998,,150.92983454440912,0.0,16.5,8.8,,72.61607081550514,,,,,,163.6906940845978,,82.60406717546935,,81.08662690912847,,595927.7905266118,,2541835.777534049,,-124104.59603882868,,0.0,,1135849.2515890843,,402474.52848685696,,-115388.09838297073,,596937.868368805,,"['TANDA STPS1', 'TANDA STPS2', 'TANDA STPS3']",Group198
 30-35 years,210.0,32.45722108145102,3.7805942068264917,,0.7501178981798595,0.6,-0.15011789817985954,0.25,13.7917015805008,1057133.9261453864,15.181391227754961,3.024,,0.0045447341941657615,4413.821812465813,3274.0786313645926,3224.4539776217985,0.2626707055080154,,1004940.3971166096,4420.259064186916,928254.4034792524,165237.3616699293,204200.3530326784,13292.443525134964,0.0,674403.7679176438,0.0,0.0,0.0,1057133.9261453864,0.09628767346826646,0.362832092380338,,2.28298296581115,2.4073096892151193,,,-0.11000939814416469,0.04993891954120362,327.55774133443646,0.0,0.5494647320868629,113.44800000000001,,311.9306970249461,0.0,31.5,16.8,,157.5247586177705,1.16,0.908,243.6,190.68,,237.0169286102639,,171.39954320980854,,65.61738540045533,,1248910.6333784044,,3802878.564259483,,-308267.254761985,,0.0,,2463977.700436822,,910538.8333968224,,-477863.32714866183,,1025742.2897712803,,"['ANPARA TPS1', 'ANPARA TPS2', 'ANPARA TPS3', 'UNCHAHAR STPS1', 'UNCHAHAR STPS2']",Group199
 30-35 years,500.0,32.236824093086874,10.36696265816626,,0.8639135548471883,0.4925,-0.3714135548471883,0.25,13.857702615803912,2529030.727384214,13.664119153148526,5.91,1444880.1289810955,0.0,0.0,3038.4411812457215,2915.6625567236206,0.28304140733544225,1472624.5163903302,2478789.5823555123,4450.813460801294,2225406.730400647,0.0,0.0,0.0,0.0,2529030.727384214,0.0,0.0,0.0,2529030.727384214,0.07163186096331942,0.7432877141798075,0.42334429829321774,1.404005317782215,1.8974752924930172,1.9100601015065324,-0.012584809013515219,-0.2721792812631165,0.13684781501073343,717.9333681680091,412.02861479648163,0.4266071466012254,,,767.1853757390311,455.7772878228071,,,,431.95677742359413,1.0175,0.8425,508.75,421.25,,470.37749526826593,279.5910668714541,419.8814138031673,249.44741915350508,50.49608146509866,30.143647717948998,3098193.335150481,1840611.706569127,8357496.017111282,4767138.346686612,-966350.1179263303,-313895.924025,0.0,0.0,6756600.527202582,3851804.0850000004,2475747.806933796,1410702.603223817,-3119937.411975136,-1778614.5000000005,2101307.0726457397,1196812.9584240515,"['RIHAND STPS2', 'RIHAND STPS1', 'SINGRAULI STPS7', 'SINGRAULI STPS6']",Group200
 35-40 years,110.0,35.2525667351129,0.569612240943598,,0.21576221247863558,0.55,0.33423778752136446,0.25,6.966383192213701,279700.2851673801,15.7907238013347,1.4520000000000002,,0.0,0.0,3403.514727484599,3514.0041139908813,0.25267997022465993,,165917.4452927836,4403.341736614755,484367.59102762304,107869.38581355583,67290.7939105889,0.0,0.0,99235.54205908047,0.0,5304.56338415488,0.0,279700.28516738006,0.10527848654994208,0.05996791464686295,,3.48640350877191,3.0937900531603404,,,0.2449361354514063,0.0791702511297434,64.32251500942311,0.0,0.8406114853650929,,,51.35144931811653,0.0,,,,23.733843372649915,,,,,,61.414336365359,,27.728074229521987,,33.686262135837026,,205166.02520067524,,905350.5745045574,,-13253.990689792008,,0.0,,371241.07555542386,,148684.5334947268,,-37713.45686063468,,169531.933294926,,['PARICHHA TPS2'],Group201
 35-40 years,200.0,37.78815879534561,2.9480012141081042,,0.614166919605855,0.55,-0.06416691960585495,0.25,12.121111282394715,884841.1236148141,15.402327679842571,2.64,,0.0,0.0,3339.5712054377136,3318.359469823303,0.2575197469270607,,784290.0008072405,4492.2013811415745,898440.2762283148,1307.8790087759303,0.0,0.0,0.0,883533.2446060381,0.0,0.0,0.0,884841.1236148141,0.08188440093004898,0.2327310780660261,,1.59914468585564,2.1883877267008685,,,-0.04702280202556263,0.10552631077153919,231.39870045502371,0.0,0.42606597519070316,92.758,,242.73775524984094,0.0,30.0,16.0,,122.83338392117099,1.0050000000000001,0.7783333333333333,201.0,155.66666666666666,,145.45665499538455,,132.843672927856,,12.612982067528536,,983866.7429069608,,2313111.5431059464,,-253023.38934832928,,0.0,,1921340.6292870652,,818310.8964195776,,-354880.3861543336,,657940.9978600906,,"['OBRA TPS12', 'OBRA TPS13', 'OBRA TPS9', 'SINGRAULI STPS1', 'SINGRAULI STPS2', 'SINGRAULI STPS3', 'SINGRAULI STPS4', 'SINGRAULI STPS5']",Group202
 40-45 years,105.0,42.17659137577,0.531175561099634,,0.2107839528173151,0.55,0.33921604718268494,0.25,7.142477152560665,273735.4368718875,16.036081781827516,1.386,,0.0,0.0,3461.046705440451,3573.181761216888,0.2484797441907265,,157722.13696145202,4392.314263387586,461192.9976556965,55181.90088694974,218112.51218052497,0.0,0.0,441.0238044127544,0.0,0.0,0.0,273735.4368718875,0.08658229137487586,0.04599039720234169,,3.47353070175435,3.3433444723587855,,,0.24858430369641518,0.07435198668626412,64.82045497599063,0.0,0.9686351561148259,83.8918181818182,,48.8150013895694,0.0,,,,22.132315045818086,,,,,,67.10367197369959,,26.441399578017368,,40.66227239568222,,194543.6497598493,,972837.8541479367,,-12074.456480469762,,0.0,,346190.2193055393,,165884.306246432,,-33570.029873716325,,130016.87646849686,,['HARDUAGANJ TPS7'],Group203
 40-45 years,200.0,41.88090349075975,3.225673432914875,,0.6720152985239323,0.55,-0.12201529852393223,0.25,13.055610821022842,953059.5899346675,15.531965368069816,2.64,,0.0,0.0,3370.8419727145792,3330.5072290631647,0.2551295211688158,,859132.1460057016,4563.139838200365,912627.967640073,6404.384100293457,0.0,0.0,0.0,946655.2058343741,0.0,0.0,0.0,953059.5899346675,0.09018017943931382,0.2908918089928908,,1.88889254385964,2.3025579380222427,,,-0.08941525106430802,0.03881471799212042,271.11970865727085,0.0,0.45735869596125545,92.75800000000001,,265.90139918876463,0.0,30.0,16.0,,134.40305970478644,,,,,,179.30016457931634,,145.47857652507093,,33.82158805424541,,1100917.4314411287,,2789455.8148023738,,-234877.31177576684,,0.0,,2102311.6930249557,,1001194.9088102082,,-388306.5678542927,,822363.9432624979,,"['OBRA TPS10', 'OBRA TPS11']",Group204
 45+ years,50.0,52.7583846680355,1.53407925407925,,1.278399378399375,0.55,-0.728399378399375,0.25,22.61814365584405,412781.12171915395,16.657694584360023,0.66,,0.0,0.0,3592.813115116358,3352.025258519622,0.23936675035549346,,411324.1091795047,4563.139838200365,228156.99191001826,2773.812761299288,0.0,0.0,0.0,410007.30895785464,0.0,0.0,0.0,412781.12171915395,0.09018017943931382,0.13834354240699548,,2.33532871972318,2.475590845418668,,,-0.53378563247863,0.21561948876424974,138.6179683504031,0.0,0.45735869596125545,196.43,,127.30481179105671,0.0,,,,63.91996891996875,1.2,1.3,60.0,65.0,,85.84299960629855,,69.65033979007939,,16.192659816219177,,527082.9218450702,,1326621.0559300536,,-211498.02114519294,,0.0,,999826.1823309998,,599287.2310902395,,-46168.11515151504,,391103.28150044207,,['OBRA TPS1'],Group205
