,hour,baseline_SOC,ind_SOC,price
0,0,0.8832236331732709,0.5037414868584542,0.04915
1,1,0.7355581606706222,0.43168841347834225,0.04915
2,2,0.4406567528270528,0.3596653622145406,0.04915
3,3,0.14661838710274017,0.2876723205578329,0.04915
4,4,0.0,0.21570927600421522,0.04915
5,5,0.0,0.14377621605489363,0.04915
6,6,0.0,0.07187312821628207,0.04915
7,7,0.0,0.0,0.03909000000000001
8,8,0.0,0.1001647607931707,0.02332
9,9,0.0,0.2002877862660054,0.01902
10,10,0.0,0.30036909380822235,0.01902
11,11,0.0,0.400408700802294,0.01902
12,12,0.0,0.5004066246234502,0.01902
13,13,0.0,0.6003628826396809,0.01902
14,14,0.0,0.7002774922117396,0.01902
15,15,0.0,0.8001504706931462,0.01902
16,16,0.0,0.8999818354301898,0.02224
17,17,0.0,0.8277636618916318,0.02583
18,18,0.0,0.755575579261122,0.02583
19,19,0.0,0.6834175750007812,0.02583
20,20,0.0,0.616325810076111,0.02583
21,21,0.0,0.5916423260684778,0.02583
22,22,0.0,0.5913679213025258,0.02583
23,23,0.0,0.5910936308719023,0.02583
24,24,0.0,0.5190041607622063,0.02668
25,25,0.0,0.5187600219008865,0.02141
26,26,0.0,0.4467006907973397,0.02668
27,27,0.0,0.37467138441748793,0.02668
28,28,0.0,0.3026720902510287,0.02668
29,29,0.0,0.23070279579287226,0.02964
30,30,0.0,0.158763488543139,0.02964
31,31,0.0,0.0868541560071577,0.03698
32,32,0.0,0.18698272756576362,0.02052
33,33,0.0,0.2870695788828825,0.01578
34,34,0.0,0.3871147273419496,0.01578
35,35,0.0,0.4871181903191574,0.01578
36,36,0.0,0.5870799851834578,0.01578
37,37,0.0,0.6870001292965661,0.01578
38,38,0.0,0.7868786400129633,0.01578
39,39,5.902290884194523e-16,0.8867155346798993,0.01578
40,40,5.899831596129366e-16,0.9865108306373962,0.02141
41,41,5.897373332767651e-16,0.9142566033479508,0.02855
42,42,5.894916093682419e-16,0.8420324819889511,0.02855
43,43,5.892459878446888e-16,0.7698384540162585,0.02855
44,44,5.890004686634453e-16,0.6976745068909609,0.02855
45,45,5.887550517818688e-16,0.6729571275902773,0.02853
46,46,5.885097371573346e-16,0.6632730592535186,0.02853
47,47,5.882645247472354e-16,0.662968808346352,0.02853
48,48,5.88019414508982e-16,0.5908493902436459,0.03082
49,49,5.877744064000026e-16,0.5187600219008865,0.03082
50,50,5.875295003777435e-16,0.4467006907973397,0.03082
51,51,5.872846963996685e-16,0.37467138441748793,0.03082
52,52,5.870399944232591e-16,0.3026720902510287,0.03082
53,53,5.867953944060148e-16,0.23070279579287226,0.03082
54,54,5.865508963054525e-16,0.158763488543139,0.03082
55,55,5.863065000791069e-16,0.0868541560071577,0.03082
56,56,0.11125439337906588,0.18698272756576362,0.01282
57,57,0.22246243075718142,0.2870695788828825,0.0
58,58,0.33362413144934916,0.3871147273419496,0.0
59,59,0.44473951476252316,0.4871181903191574,0.0
60,60,0.5558085999956127,0.5870799851834578,0.0
61,61,0.6668314064394861,0.6870001292965661,0.0
62,62,0.777807953376974,0.7868786400129633,0.0
63,63,0.8887382600828719,0.8867155346798993,0.0
64,64,0.9996223458239448,0.9865108306373962,0.00519
65,65,0.9992058364798642,0.9142566033479508,0.03082
66,66,0.9987895006813573,0.8420324819889511,0.03082
67,67,0.9983733383561137,0.7698384540162585,0.03082
68,68,0.997957349431853,0.6976745068909609,0.03082
69,69,0.9975415338363245,0.6729571275902773,0.03082
70,70,0.997125891497308,0.6632730592535186,0.03082
71,71,0.9967104223426133,0.662968808346352,0.03082
72,72,0.848997663674028,0.5908493902436459,0.047310000000000005
73,73,0.5540489893670925,0.5187600219008865,0.047310000000000005
74,74,0.25922321035094986,0.4467006907973397,0.047310000000000005
75,75,0.05592051913172305,0.37467138441748793,0.047310000000000005
76,76,0.0,0.3026720902510287,0.047310000000000005
77,77,0.0,0.23070279579287226,0.047310000000000005
78,78,4.532438744178497e-16,0.158763488543139,0.047310000000000005
79,79,4.530550227884008e-16,0.0868541560071577,0.04351
80,80,0.11125439337906574,0.18698272756576362,0.01098
81,81,0.22246243075718128,0.2870695788828825,0.0
82,82,0.333624131449349,0.3871147273419496,0.0
83,83,0.444739514762523,0.4871181903191574,0.0
84,84,0.5558085999956126,0.5870799851834578,0.0
85,85,0.666831406439486,0.6870001292965661,0.0
86,86,0.7778079533769738,0.7868786400129633,0.0
87,87,0.8887382600828718,0.8867155346798993,0.0
88,88,0.9996223458239448,0.9865108306373962,0.0
89,89,0.9992058364798642,0.9142566033479508,0.04319
90,90,0.9987895006813573,0.8420324819889511,0.04319
91,91,0.9983733383561137,0.7698384540162585,0.04319
92,92,0.997957349431853,0.6976745068909609,0.04319
93,93,0.9975415338363245,0.6255406280793712,0.04319
94,94,0.997125891497308,0.553436805053024,0.04319
95,95,0.9967104223426133,0.5037414868584542,0.04319
96,96,0.8489976636740281,0.43168841347834225,0.05659
97,97,0.5540489893670925,0.3596653622145406,0.05659
98,98,0.25922321035094986,0.2876723205578329,0.05659
99,99,0.05592051913172298,0.21570927600421522,0.05659
100,100,0.0,0.14377621605489363,0.05659
101,101,0.0,0.07187312821628207,0.05659
102,102,0.0,0.0,0.05659
103,103,3.699445633226113e-16,0.0,0.033030000000000004
104,104,0.11125439337906566,0.1001647607931707,0.00729
105,105,0.22246243075718122,0.2002877862660054,0.0
106,106,0.33362413144934894,0.30036909380822235,0.0
107,107,0.4447395147625229,0.400408700802294,0.0
108,108,0.5558085999956125,0.5004066246234502,0.0
109,109,0.6668314064394859,0.6003628826396809,0.0
110,110,0.7778079533769737,0.7002774922117396,0.0
111,111,0.8887382600828717,0.8001504706931462,0.0
112,112,0.9996223458239448,0.8999818354301898,0.0029100000000000003
113,113,0.8519083738538118,0.8277636618916318,0.036899999999999995
114,114,0.5569584867508711,0.755575579261122,0.036899999999999995
115,115,0.26213149544405484,0.6834175750007812,0.036899999999999995
116,116,0.05737435866876028,0.6112896365779541,0.036899999999999995
117,117,0.0,0.5391917514652075,0.036899999999999995
118,118,0.0,0.4671239071403278,0.036899999999999995
119,119,0.0,0.3950860910863191,0.036899999999999995
120,120,0.0,0.3230782907914008,0.02696
121,121,0.0,0.2511004937490056,0.02696
122,122,0.0,0.17915268745777732,0.02696
123,123,0.0,0.10723485942156864,0.02696
124,124,0.0,0.08276349666034447,0.02696
125,125,0.0,0.0724898512035737,0.02696
126,126,0.0,0.0006164660193596868,0.04889
127,127,0.0,0.0005883220481291027,0.02696
128,128,0.0,0.000560189803554136,0.02213
129,129,0.0,0.0005320692807486801,0.0
130,130,0.0,0.0005039604748286637,0.0
131,131,0.0,0.0004758633809120509,0.0
132,132,0.0,0.00044777799411884,0.0
133,133,0.0,0.0004197043095710625,0.0
134,134,0.0,0.0003916423223927824,0.0
135,135,0.0,0.0003635920277100952,0.0
136,136,0.0,0.0003355534206511275,0.0
137,137,0.0,0.0003075264963460357,0.0
138,138,0.0,0.0002795112499270052,0.0
139,139,0.0,0.0002515076765282498,0.0
140,140,0.0,0.0002235157712860107,0.0
141,141,0.0,0.00019553552933855562,0.0
142,142,0.0,0.00016756694582617797,0.0
143,143,0.0,0.00013961001589119607,0.0
144,144,0.0,0.00011166473467795234,-0.0
145,145,0.0,8.373109733281229e-05,-0.0
146,146,0.0,5.5809099004163836e-05,-0.0
147,147,0.0,2.789873484241638e-05,-0.0
148,148,0.0,0.0,-0.0
149,149,0.0,0.0,-0.0
150,150,0.0,0.0,-0.0
151,151,0.0,0.0,-0.0
152,152,0.0,0.1001647607931707,-0.0
153,153,0.05927424890992621,0.2002877862660054,-0.0
154,154,0.17050394468330324,0.30036909380822235,0.0
155,155,0.28168729474640036,0.400408700802294,0.0
156,156,0.39282431840993176,0.5004066246234502,0.0
157,157,0.5039150349765654,0.6003628826396809,0.0
158,158,0.6149594637409267,0.7002774922117396,0.0
159,159,0.7259576239896013,0.8001504706931462,0.0
160,160,0.836909535001139,0.8867155346798993,0.0
161,161,0.9478152160460569,0.9865108306373962,0.0
162,162,0.9474202930077772,0.9142566033479508,0.02625
163,163,0.9470255345207765,0.8420324819889511,0.03271
164,164,0.9466309405164921,0.7698384540162585,0.03271
165,165,0.9462365109263893,0.6976745068909609,0.03271
166,166,0.9458422456819621,0.6255406280793712,0.03271
167,167,0.9454481447147333,0.553436805053024,0.03271
