,x,capex_savings,opex_savings,tank_capacitys,durations,Q_inds,hours
0,0.3,-0.3595070952159558,0.0,4267.514532542413,2.691816858988291,365.8536585365854,0.0
1,0.09999999999999999,0.40243902439024387,0.0,0.0,0.0,121.95121951219511,0.0
2,0.09999999999999999,-1.1643851439964419,0.0,4267.514604245705,3.1812381595286165,121.95121951219511,0.0
3,0.3,1.2073170731707317,0.0,0.0,0.0,365.8536585365854,0.0
4,0.09999999999999999,-1.1643851439964419,0.0,6297.565571103607,4.694548880277234,121.95121951219511,0.0
5,0.3,1.2073170731707317,0.0,0.0,0.0,365.8536585365854,0.0
6,0.19999999999999998,0.8048780487804877,0.0,0.0,0.0,243.90243902439022,0.0
7,0.19999999999999998,0.8048780487804877,0.0,0.0,0.0,243.90243902439022,0.0
8,0.0,-1.5668241683866857,0.0,4268.089998787895,3.4998337990060735,0.0,0.0
9,0.0,-1.5668241683866857,0.0,6295.3224626727315,5.16216441939164,0.0,0.0
10,0.19999999999999998,-0.761946119606198,0.0,4268.189423040627,2.916596105744428,243.90243902439022,0.0
11,0.0,-1.5668241683866857,0.0,2371.998523330556,1.9450387891310559,0.0,0.0
12,0.39999999999999997,1.6097560975609755,0.0,0.0,0.0,487.80487804878044,0.0
13,0.39999999999999997,1.6097560975609755,0.0,0.0,0.0,487.80487804878044,0.0
14,0.39999999999999997,0.042931929174289736,0.0,4423.849965736997,2.5911121227888123,487.80487804878044,0.0
15,0.3,-0.359507095215954,0.0,4940.430057556881,3.11627126707434,365.8536585365854,1.0
16,0.3,1.2073170731707317,0.0,1219.5121951219444,0.7692307692307648,365.8536585365854,1.0
17,0.39999999999999997,0.042931929174289736,0.0,4678.94534630656,2.7405251314081283,487.80487804878044,1.0
18,0.09999999999999999,-1.1643851439964419,0.0,5040.546238320903,3.7574981049301277,121.95121951219511,1.0
19,0.09999999999999999,-0.4029763618621641,0.0,1219.5121951219444,0.909090909090904,121.95121951219511,1.0
20,0.09999999999999999,-1.1643851439964419,0.0,4267.515031439374,3.181238477982079,121.95121951219511,1.0
21,0.0,-1.5668241683866857,0.0,6295.3224626727515,5.162164419391656,0.0,1.0
22,0.0,-1.5668241683866857,0.0,2371.998523330556,1.9450387891310559,0.0,1.0
23,0.0,-1.5668241683866857,0.0,4513.295402751687,3.7009022302563834,0.0,1.0
24,0.39999999999999997,1.6097560975609755,0.0,1219.5121951219444,0.7142857142857103,487.80487804878044,1.0
25,0.19999999999999998,0.8048780487804877,0.0,1219.5121951219444,0.8333333333333286,243.90243902439022,1.0
26,0.19999999999999998,0.5545307608417052,0.0,1219.5121951219444,0.8333333333333286,243.90243902439022,1.0
27,0.39999999999999997,1.6097560975609755,0.0,1219.5121951219444,0.7142857142857103,487.80487804878044,1.0
28,0.19999999999999998,-0.761946119606198,0.0,4940.4300575568805,3.375960539330535,243.90243902439022,1.0
29,0.3,1.2073170731707317,0.0,1219.5121951219444,0.7692307692307648,365.8536585365854,1.0
30,0.3,0.7312841003942632,0.0,2439.024390243896,1.5384615384615343,365.8536585365854,2.0
31,0.3,1.2073170731707317,0.0,2439.024390243896,1.5384615384615343,365.8536585365854,2.0
32,0.09999999999999999,-1.1643851439964419,0.0,4267.514835166561,3.1812383316696184,121.95121951219511,2.0
33,0.19999999999999998,0.09721235415779267,0.0,2439.024390243896,1.6666666666666623,243.90243902439022,2.0
34,0.09999999999999999,-1.1643851439964419,0.0,2439.024390243896,1.8181818181818135,121.95121951219511,2.0
35,0.09999999999999999,-1.1643851439964419,0.0,6295.322462672732,4.692876744901492,121.95121951219511,2.0
36,0.39999999999999997,0.042931929174289736,0.0,4481.384470214592,2.6248109039828322,487.80487804878044,2.0
37,0.19999999999999998,-0.761946119606198,0.0,2439.024390243896,1.6666666666666623,243.90243902439022,2.0
38,0.19999999999999998,-0.761946119606198,0.0,4267.514835166561,2.9161351373638165,243.90243902439022,2.0
39,0.39999999999999997,1.6097560975609755,0.0,2439.024390243896,1.4285714285714248,487.80487804878044,2.0
40,0.39999999999999997,1.6097560975609755,0.0,2439.024390243896,1.4285714285714248,487.80487804878044,2.0
41,0.3,-0.359507095215954,0.0,3889.472409959797,2.4533595201284872,365.8536585365854,2.0
42,0.0,-1.5668241683866857,0.0,6295.322462672737,5.162164419391645,0.0,2.0
43,0.0,-1.5668241683866857,0.0,2439.024390243896,1.9999999999999947,0.0,2.0
44,0.0,-1.5668241683866857,0.0,4267.653511207422,3.499475879190086,0.0,2.0
45,0.3,0.48325053924844985,0.0,3658.5365853658477,2.307692307692304,365.8536585365854,3.0
46,0.3,-0.359507095215954,0.0,4267.5146042457045,2.691816904216521,365.8536585365854,3.0
47,0.3,1.2073170731707317,0.0,3658.5365853658477,2.307692307692304,365.8536585365854,3.0
48,0.19999999999999998,-0.36155166270795963,0.0,3658.5365853658477,2.499999999999996,243.90243902439022,3.0
49,0.19999999999999998,-0.761946119606198,0.0,3658.5365853658477,2.499999999999996,243.90243902439022,3.0
50,0.19999999999999998,-0.761946119606198,0.0,4267.613638129622,2.9162026527219083,243.90243902439022,3.0
51,0.09999999999999999,-1.1643851439964419,0.0,3658.5365853658477,2.7272727272727226,121.95121951219511,3.0
52,0.09999999999999999,-1.1643851439964419,0.0,4267.514660330829,3.181238201337527,121.95121951219511,3.0
53,0.09999999999999999,-1.1643851439964419,0.0,6297.554984675793,4.694540988576501,121.95121951219511,3.0
54,0.39999999999999997,0.042931929174289736,0.0,4267.613638129622,2.499602273761636,487.80487804878044,3.0
