Name,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits
ombayU5  0 2hrs GUJARAT,-3.232156712653069,-13.796347588038458,-0.0,-26.808489658243325,74.51835146872529,12236347.537406666
ombayU5  10 2hrs GUJARAT,-3.520661036569763,-19.755658678638493,-0.0,-23.016063154691327,67.52861930541931,7176715.216520586
ombayU5  20 2hrs GUJARAT,-3.681439189408671,-20.776560382258573,-0.0,-22.01951545538894,64.80489795820314,4410786.578194929
ombayU5  30 2hrs GUJARAT,-3.4398852509768254,-23.063615063964257,-0.0,-21.168589272210355,62.06184426173718,2563036.4699402214
ombayU5  40 2hrs GUJARAT,-3.428907858666292,-23.516572847383056,-0.0,-21.11851867925145,60.8422452067112,1069799.719732844
ombayU5  49 2hrs GUJARAT,-3.4499598143263768,-23.37227568675578,-0.0,-21.08855370893738,60.394023102918226,-337710.16104678164
ombayU5  60 2hrs GUJARAT,-3.4435233409879826,-23.128749869929138,-0.0,-21.125244011467835,59.79680104374882,-1718577.5742533
ombayU5  70 2hrs GUJARAT,-3.4136538805074603,-22.7314318161318,-0.0,-21.636429772259916,59.144562823020365,-3047019.4669669843
