,Name,Dispatch
0,0,98.23337556862266
1,1,143.57332888953295
2,2,91.29085434445358
3,3,91.98668508598763
4,4,135.95891636640835
5,5,77158.56121697821
6,6,206.34555079809215
7,7,93.1446985705983
8,8,255.96385196350388
9,9,136.1982325815959
10,10,24.245468130743852
11,11,252.2611585832188
12,12,84644.31829870834
13,13,36.2547566391845
14,14,232668.80830434815
15,15,62.671971143106
16,16,383774.77410835435
17,17,605.6546617570039
18,18,305955.26792866085
19,19,283.50059686991773
20,20,390698.7049498767
21,21,71.4455911946349
22,22,340.3047710989857
23,23,190667.61187999547
