first,second
Q_TES_heater_peak,474.88054927722027
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.10653282846432502
lifetime,25.0
Q_ind,0.0
CAPEX_TES_HEN,2279.2935576334476
P_coldpump,125.73760292603328
TES_LCOE_Charge,0.0778606430240775
flowSalt_charge_peak,0.6408644389706076
TES_fom_yr,6702.1744724077425
