first,second
Q_TES_heater_peak,414.36697420414504
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.08651095640402941
lifetime,25.0
Q_ind,0.0
CAPEX_TES_HEN,404.851895444526
P_coldpump,77.20683792863557
TES_LCOE_Charge,0.057870457385586785
flowSalt_charge_peak,0.39351089668009975
TES_fom_yr,959.9692344464892
