first,second
Q_TES_heater_peak,474.8487058969365
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.08058156716780887
lifetime,25.0
Q_ind,0.0
CAPEX_TES_HEN,2862.9662532848797
P_coldpump,159.25695059312642
TES_LCOE_Charge,0.0665399910377303
flowSalt_charge_peak,0.8117071895674128
TES_fom_yr,6946.407233364936
